t,T,ferrite,pearlite,bainite,martensite,austenite
0.0,1000.0000000000008,0.0,0.0,0.0,0.0,1.0
2.0,999.0000000000001,0.0,0.0,0.0,0.0,1.0
4.0,998.0000000000003,0.0,0.0,0.0,0.0,1.0
6.0,997.0000000000001,0.0,0.0,0.0,0.0,1.0
8.0,995.9999999999999,0.0,0.0,0.0,0.0,1.0
10.0,994.9999999999993,0.0,0.0,0.0,0.0,1.0
12.0,994.0000000000002,0.0,0.0,0.0,0.0,1.0
14.0,992.9999999999995,0.0,0.0,0.0,0.0,1.0
16.0,992.0000000000007,0.0,0.0,0.0,0.0,1.0
18.0,991.0000000000003,0.0,0.0,0.0,0.0,1.0
20.0,989.9999999999999,0.0,0.0,0.0,0.0,1.0
22.0,989.0000000000006,0.0,0.0,0.0,0.0,1.0
24.0,988.0000000000003,0.0,0.0,0.0,0.0,1.0
26.0,986.9999999999994,0.0,0.0,0.0,0.0,1.0
28.0,985.9999999999997,0.0,0.0,0.0,0.0,1.0
30.0,985.0000000000002,0.0,0.0,0.0,0.0,1.0
32.0,984.0,0.0,0.0,0.0,0.0,1.0
34.0,983.0,0.0,0.0,0.0,0.0,1.0
36.0,982.0,0.0,0.0,0.0,0.0,1.0
38.0,981.0,0.0,0.0,0.0,0.0,1.0
40.0,980.0,0.0,0.0,0.0,0.0,1.0
42.0,979.0,0.0,0.0,0.0,0.0,1.0
44.0,978.0,0.0,0.0,0.0,0.0,1.0
46.0,977.0,0.0,0.0,0.0,0.0,1.0
48.0,976.0,0.0,0.0,0.0,0.0,1.0
50.0,975.0,0.0,0.0,0.0,0.0,1.0
52.0,974.0,0.0,0.0,0.0,0.0,1.0
54.0,973.0,0.0,0.0,0.0,0.0,1.0
56.0,971.9999999999993,0.0,0.0,0.0,0.0,1.0
58.0,971.0,0.0,0.0,0.0,0.0,1.0
60.0,970.0000000000001,0.0,0.0,0.0,0.0,1.0
62.0,969.0,0.0,0.0,0.0,0.0,1.0
64.0,968.0,0.0,0.0,0.0,0.0,1.0
66.0,967.0,0.0,0.0,0.0,0.0,1.0
68.0,966.0,0.0,0.0,0.0,0.0,1.0
70.0,965.0,0.0,0.0,0.0,0.0,1.0
72.0,964.0,0.0,0.0,0.0,0.0,1.0
74.0,963.0,0.0,0.0,0.0,0.0,1.0
76.0,962.0,0.0,0.0,0.0,0.0,1.0
78.0,961.0,0.0,0.0,0.0,0.0,1.0
80.0,960.0,0.0,0.0,0.0,0.0,1.0
82.0,959.0,0.0,0.0,0.0,0.0,1.0
84.0,958.0,0.0,0.0,0.0,0.0,1.0
86.0,956.9999999999999,0.0,0.0,0.0,0.0,1.0
88.0,956.0000000000001,0.0,0.0,0.0,0.0,1.0
90.0,954.9999999999999,0.0,0.0,0.0,0.0,1.0
92.0,954.0,0.0,0.0,0.0,0.0,1.0
94.0,953.0,0.0,0.0,0.0,0.0,1.0
96.0,952.0,0.0,0.0,0.0,0.0,1.0
98.0,951.0000000000001,0.0,0.0,0.0,0.0,1.0
100.0,950.0000000000001,0.0,0.0,0.0,0.0,1.0
102.0,948.9999999999999,0.0,0.0,0.0,0.0,1.0
104.0,947.9999999999999,0.0,0.0,0.0,0.0,1.0
106.0,946.9999999999995,0.0,0.0,0.0,0.0,1.0
108.0,945.9999999999995,0.0,0.0,0.0,0.0,1.0
110.0,944.9999999999999,0.0,0.0,0.0,0.0,1.0
112.0,944.0000000000001,0.0,0.0,0.0,0.0,1.0
114.0,942.9999999999999,0.0,0.0,0.0,0.0,1.0
116.0,942.0,0.0,0.0,0.0,0.0,1.0
118.0,941.0,0.0,0.0,0.0,0.0,1.0
120.0,940.0,0.0,0.0,0.0,0.0,1.0
122.0,938.9999999999999,0.0,0.0,0.0,0.0,1.0
124.0,938.0000000000001,0.0,0.0,0.0,0.0,1.0
126.0,936.9999999999999,0.0,0.0,0.0,0.0,1.0
128.0,936.0,0.0,0.0,0.0,0.0,1.0
130.0,935.0,0.0,0.0,0.0,0.0,1.0
132.0,934.0,0.0,0.0,0.0,0.0,1.0
134.0,933.0,0.0,0.0,0.0,0.0,1.0
136.0,931.9999999999999,0.0,0.0,0.0,0.0,1.0
138.0,930.9999999999998,0.0,0.0,0.0,0.0,1.0
140.0,930.0,0.0,0.0,0.0,0.0,1.0
142.0,928.9999999999998,0.0,0.0,0.0,0.0,1.0
144.0,927.9999999999993,0.0,0.0,0.0,0.0,1.0
146.0,926.9999999999999,0.0,0.0,0.0,0.0,1.0
148.0,926.0000000000001,0.0,0.0,0.0,0.0,1.0
150.0,924.9999999999999,0.0,0.0,0.0,0.0,1.0
152.0,924.0,0.0,0.0,0.0,0.0,1.0
154.0,922.9999999999998,0.0,0.0,0.0,0.0,1.0
156.0,921.9999999999995,0.0,0.0,0.0,0.0,1.0
158.0,920.9999999999995,0.0,0.0,0.0,0.0,1.0
160.0,919.9999999999999,0.0,0.0,0.0,0.0,1.0
162.0,918.9999999999998,0.0,0.0,0.0,0.0,1.0
